Название;Стоимость;Стихия;Легендарность;Суть
Лошадь (искренне уверенная в превосходстве свободного ПО);Не продается;Нет;Редкая;? км/день, периодически останавливается или едет не в ту сторону. Искренне уверена, что это делает ее только лучше в глазах покупателей.
Лошадь (правильная скобочная);Не продается;Нет;Эпическая;? км/день, если нарисовать на песке скобку, подбежит к рисунку и закроет скобку. Если на ней ехать и лошадь увидит что-то в форме скобки, остановится и дорисует на песке скобки до правильной скобочной последовательности.
Лошадь (огнегривая);Не продается;Нет;Эпическая;? км/день, поджигает наездника. После того, как у наездника становится 10% здоровья, накладывает эффект Огнестойкость.
Лошадь (приклеенная);Не продается;Нет;Эпическая;? км/день, эта лошадь может находиться приклеенной к земле, поэтому без ее желания ее невозможно сдвинуть с места.
Лошадь (электрическая);Не продается;Нет;Эпическая;? км/день, может ударить вас током. При этом, если вы носите любую металлическую броню (кроме серебряной и золотой), ваша броня становится заряженной заклинанием Молния (аналогично зачарованию Гроза Заклинаний). Однако это заклинание действует только на наездника.
Лошадь (позолоченная);Не продается;Нет;Эпическая;? км/день, если сесть на эту лошадь с золотом, все золото примагнитится к ней, поэтому это золото нельзя будет похитить (но и забрать тоже). Забрать золото можно будет только, если лошадь этого захочет.
Лошадь (взрывоопасная);Не продается;Нет;Эпическая;? км/день, при слишком крутом спуске или ином резком увеличении скорости взрывается, накладывая заклинание Бушующий Армагеддон, усиленное в два раза.
Лошадь (социофоб);Не продается;Нет;Эпическая;? км/день, на ней может может ездить только один наездник.
Лошадь (со строго неотрицательным ускорением);Не продается;Нет;Легендарная;? км/день, не умеет самостоятельно тормозить.
Лошадь (приятной окраски, каурая, ежедневно мешающая одиноким наездникам);Не продается;Нет;Легендарная;? км/день, окраска лошади очень приятная, в связи с чем привлекает торговцев (-10% к цене товаров). Возможно, стоит подумать, почему лошадь названа именно так…
Лошадь (незнакомая с понятием высоты над уровнем моря);Не продается;Нет;Легендарная;? км/день, не замечает спуски и подъемы. Хоть и скачет очень быстро, является довольно-таки опасной для поездок.
Лошадь (легендарная);Не продается;Нет;Обычная;? км/день, этих лошадей настолько много, что их уже даже не продают и не покупают.
Лошадь (не надевай седло);Не продается;Нет;Легендарная;? км/день, если надеть седло на эту лошадь, она взлетит и навеки останется парить на большой высоте.
Лошадь (высокого прыжка);Не продается;Нет;Легендарная;? км/день, может высоко прыгать. Передвигается или шагом, или прыжками.
Лошадь (мудрого Александра);Не продается;Нет;Легендарная;? км/день, может давать мудрые советы, искать глубокий философский смысл или решать сложные математические и алгоритмические  задачи.
Лошадь (эффектная);Не продается;Нет;Легендарная;? км/день, все эффекты, плюсы и минусы в процентах на игроках отражаются также и на лошади, и наоборот.
